FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AA,1252,DFW,"Dallas/Fort Worth, TX",TX,MCO,"Orlando, FL",FL,1415,1419,4,1740,1737,-3,0,0,145,138,985,,,,,
1/1/2015,AA,1252,MCO,"Orlando, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,1835,1832,-3,2030,2057,27,0,0,175,205,985,0,0,27,0,0
1/1/2015,AA,1254,MIA,"Miami, FL",FL,ORD,"Chicago, IL",IL,715,830,75,939,1051,72,0,0,204,201,1197,72,0,0,0,0
1/1/2015,AA,1255,DFW,"Dallas/Fort Worth, TX",TX,SJC,"San Jose, CA",CA,1025,,,1210,,,1,0,225,,1438,,,,,
1/1/2015,AA,1255,SJC,"San Jose, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,1255,1304,9,1825,1850,25,0,0,210,226,1438,9,0,16,0,0
1/1/2015,AA,1257,MIA,"Miami, FL",FL,BWI,"Baltimore, MD",MD,1950,1948,-2,2226,2215,-11,0,0,156,147,946,,,,,
1/1/2015,AA,1258,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,700,656,-4,1145,1139,-6,0,0,165,163,1055,,,,,
1/1/2015,AA,1260,MIA,"Miami, FL",FL,JFK,"New York, NY",NY,705,701,-4,953,946,-7,0,0,168,165,1089,,,,,
1/1/2015,AA,1261,DFW,"Dallas/Fort Worth, TX",TX,TUS,"Tucson, AZ",AZ,1050,,,1215,,,1,0,145,,813,,,,,
1/1/2015,AA,1261,TUS,"Tucson, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,1300,1251,-9,1610,1552,-18,0,0,130,121,813,,,,,
