FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,DL,893,PBI,"West Palm Beach/Palm Beach, FL",FL,DTW,"Detroit, MI",MI,1155,1149,-6,1449,1459,10,0,0,174,190,1086,,,,,
1/1/2015,DL,897,ATL,"Atlanta, GA",GA,MCO,"Orlando, FL",FL,1455,1454,-1,1624,1618,-6,0,0,89,84,404,,,,,
1/1/2015,DL,897,MCO,"Orlando, FL",FL,ATL,"Atlanta, GA",GA,1730,1726,-4,1909,1843,-26,0,0,99,77,404,,,,,
1/1/2015,DL,901,DTW,"Detroit, MI",MI,ATL,"Atlanta, GA",GA,1345,1344,-1,1555,1526,-29,0,0,130,102,594,,,,,
1/1/2015,DL,904,LGA,"New York, NY",NY,ATL,"Atlanta, GA",GA,600,601,1,839,807,-32,0,0,159,126,762,,,,,
1/1/2015,DL,906,ATL,"Atlanta, GA",GA,LGA,"New York, NY",NY,2045,2058,13,2253,2256,3,0,0,128,118,762,,,,,
1/1/2015,DL,913,ATL,"Atlanta, GA",GA,LEX,"Lexington, KY",KY,1909,1908,-1,2026,2013,-13,0,0,77,65,304,,,,,
1/1/2015,DL,920,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,1255,1253,-2,2115,2055,-20,0,0,320,302,2475,,,,,
1/1/2015,DL,922,IAD,"Washington, DC",VA,ATL,"Atlanta, GA",GA,1737,1736,-1,1942,1929,-13,0,0,125,113,534,,,,,
1/1/2015,DL,925,ATL,"Atlanta, GA",GA,STT,"Charlotte Amalie, VI",VI,1515,1515,0,1952,1935,-17,0,0,217,200,1599,,,,,
1/1/2015,DL,926,STT,"Charlotte Amalie, VI",VI,ATL,"Atlanta, GA",GA,1350,1348,-2,1654,1650,-4,0,0,244,242,1599,,,,,
1/1/2015,DL,927,ATL,"Atlanta, GA",GA,EYW,"Key West, FL",FL,1510,1508,-2,1705,1649,-16,0,0,115,101,646,,,,,
1/1/2015,DL,927,EYW,"Key West, FL",FL,ATL,"Atlanta, GA",GA,1740,1732,-8,1940,1920,-20,0,0,120,108,646,,,,,
1/1/2015,DL,928,DEN,"Denver, CO",CO,LGA,"New York, NY",NY,930,940,10,1511,1452,-19,0,0,221,192,1620,,,,,
1/1/2015,DL,929,SEA,"Seattle, WA",WA,ATL,"Atlanta, GA",GA,2355,2349,-6,728,735,7,0,0,273,286,2182,,,,,
1/1/2015,DL,930,BDL,"Hartford, CT",CT,ATL,"Atlanta, GA",GA,1645,1643,-2,1934,1913,-21,0,0,169,150,859,,,,,
1/1/2015,DL,936,ATL,"Atlanta, GA",GA,OMA,"Omaha, NE",NE,1035,1033,-2,1210,1203,-7,0,0,155,150,821,,,,,
1/1/2015,DL,936,OMA,"Omaha, NE",NE,ATL,"Atlanta, GA",GA,1250,1248,-2,1602,1547,-15,0,0,132,119,821,,,,,
